DESH_PR_0058|01.06.2015|15.09.2015|ganze Saison geschlossen
DESH_PR_0273|01.06.2013|15.09.2013|nicht geschlossen
DESH_PR_0274|01.06.2013|15.09.2013|nicht geschlossen
DESH_PR_0275|01.06.2013|15.09.2013|nicht geschlossen
DESH_PR_0276|01.06.2013|15.09.2013|nicht geschlossen
DESH_PR_0277|01.06.2013|15.09.2013|nicht geschlossen
DESH_PR_0278|01.06.2013|15.09.2013|nicht geschlossen
DESH_PR_0279|01.06.2013|15.09.2013|nicht geschlossen
DESH_PR_0280|01.06.2013|15.09.2013|nicht geschlossen
DESH_PR_0281|01.06.2013|15.09.2013|nicht geschlossen
